Group nationality,Group gender,Group age,Group special needs,Group Details," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Issue"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Team Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Issue"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Team Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Issue"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Team Recommendation",Theme 1: Shrinking Protection SpaceRefugee responses to shrinking protection space:Issue,Theme 1: Shrinking Protection SpaceRefugee responses to shrinking protection space:Refugee recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:PA recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Issue,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Refugee recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:PA recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Issue,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Refugee recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:PA recommendation," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityIssue"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityRefugee Recommendation"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityTeam Recommendation"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityIssue "," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityRefugee Recommendation"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityTeam Recommendation"," Theme 1: Shrinking Protection Space
Fraud:Issue"," Theme 1: Shrinking Protection Space
Fraud:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Fraud:Team recommendation"," Theme 1: Shrinking Protection Space
Specific protection risks of Iraqis who arrived after June 2014 (if applicable):Issue"," Theme 1: Shrinking Protection Space
Specific protection risks of Iraqis who arrived after June 2014 (if applicable):Refugee Recommendation"," Theme 1: Shrinking Protection Space
Specific protection risks of Iraqis who arrived after June 2014 (if applicable):Team Recommendation","Theme 2: Community Based Protection Network
Community Based Complaint Mechanisms:Issue","Theme 2: Community Based Protection Network
Community Based Complaint Mechanisms:Refugee Recommendation","Theme 2: Community Based Protection Network
Community Based Complaint Mechanisms:Team Recommendation","Theme 2: Community Based Protection Network
Risk and coping mechanisms of refugees living in ITSs.Issue","Theme 2: Community Based Protection Network
Risk and coping mechanisms of refugees living in ITSs.Refugee Recommendation","Theme 2: Community Based Protection Network
Risk and coping mechanisms of refugees living in ITSs.Team Recommendation","Theme 2:  Community Based Protection Network
Short and long term needs/aspirations/plans of refugees:Issue","Theme 2: Community Based Protection Network
Short and long term needs/aspirations/plans of refugees:Refugee Recommendation","Theme 2: Community Based Protection Network
Short and long term needs/aspirations/plans of refugees:Team Recommendation","Theme 3: Protection – Assistance and Services
Access to services by refugees with disabilities (adult and children) and SGBV survivors: Issue","Theme 3: Protection – Assistance and Services
Access to services by refugees with disabilities (adult and children) and SGBV survivors: Refugee Recommendation","Theme 3: Protection – Assistance and Services
Access to services by refugees with disabilities (adult and children) and SGBV survivors: Team Recommendation","Theme 3: Impact of the Government’s new health policy
Impact of the Government’s new health policy:Issue","Theme 3: Protection – Assistance and Services
Impact of the Government’s new health policy:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Impact of the Government’s new health policy:Team Recommendation","Theme 3: Protection – Assistance and Services
Refugee perceptions on home visits:Issue","Theme 3: Protection – Assistance and Services
Refugee perceptions on home visits:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Refugee perceptions on home visits:Team Recommendation","Theme 3: Protection – Assistance and Services
Challenges posed by the increasing number of unaccompanied minors:Issue","Theme 3: Protection – Assistance and Services
Challenges posed by the increasing number of unaccompanied minors:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Challenges posed by the increasing number of unaccompanied minors:Team Recommendation","Theme 3: Protection – Assistance and Services
Cash based interventions:Issue","Theme 3: Protection – Assistance and Services
Cash based interventions:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Cash based interventions:Team Recommendation"
Syrians,Male and female,,,,. Harassment against children in school,,. Sensitise teachers and police to child protection/human rights principles and specific protection issues facing Syrians,. Inability to cover rent and basic needs ,,,. Poor quality and access to health care ,,,. Fear of harassment by drunk men in Sahab,,. Sensitise police to protection issues facing Syrians in Sahab ,,,,,,,,,,,,,,,,,,,. Lack of awareness about UNHCR complaints handling mechanisms,,. Giver elderly priority at UNHCR Khalda office,,,,. (a.) Continued protection in Jordan (b.) Continued support from Jordanians (c.) Return to Syria at the end of the war,,,,,,. Poor quality health care ,,,. Positive view/experience on Home Visits ,. Preference for Home Visits over other types of needs assessments ,,. Cases of elderly caring for unacompanied minors,,,,,
Syrians ,Male,Minors,PwD,None,. Violence against children,. Address issue to parents ,. Create more safespaces for children with disability ,. Lack of knowledge on issues facing girls with disability ,. Girls require protection from family and older brothers,. Activities with boys with disabilities should tackle concerns of girls with disabilities,. Psychological distress and negative coping strategies (social isolation),. Individual psychosocial support to children with disabilities,,,,,,,,,,,,,,,,,,,,,,,. Fear of parents imprisonment if complaints reported to police,,. Identify alternative solutions to reporting ill treatment ,,,,,,,,,,,,,,,,,,,,,
Syrians,Male,Adult,PwD,None,. Gang violence against adult males with disability,. Place complaints to police,. Raise awareness on UNHCR services ,. Mistreatment by UNHCR guards,. Increase Home Visits ,. Increase Home Visits to PwD,. Violence against children in Abdallah Saraj school,. UNHCR monitoring and intervention in schools,. Agencies working with safe spaces should monitor violence/discrimination against children in schools,. Restricted freedom of movement due to disability,,. Inform PwD of NGO rehabilitation services,,,,,,,,,,,,,,,,,,,. Ineffective complaints handling mechanisms (UNHCR just in 'business' GoJ),,. Raise awareness on rights of PwD and UNHCR services ,,,,,,,,,,,,,,,,,,,,,
Syrians,Female,Minors,PwD,SGBV survivors,. Lack of access to public services including health services (unaffordable transportation costs),,". Map services for PwD and enhance referral to nearest services; establish community support system to ensure safe transportation of girls to education, health and psychosocial services. 
",". Lack of psychosocial support, recreational activities and SGBV case management",. Psychosocial support and recreational activities ,. Train refugee community centre staff on SGBV issues facing PwD; enhance SOP and referral pathways regarding SGBV cases,. Practical/service delivery approach and limited interaction between service providers and girls with disability prevents disclosure of SGBV issues ,,". Accessibility assessment of SGBV centers; training of staff at centers for PWD on SGBV referral pathways
",". Limited access to education, instead social isolation ",,. Identify education opportunities for girls with disability out of school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrians,Female,Adult,PwD,SGBV survivors,. Lack of access to public services including health services (unaffordable transportation costs),,". Map services for PwD and enhance referral to nearest services; establish community support system to ensure safe transportation of girls to education, health and psychosocial services. ",". Lack of psychosocial support, recreational activities and SGBV case management",,. Train refugee community centre staff on SGBV issues facing PwD; enhance SOP and referral pathways regarding SGBV cases; establish a task force to drive collaboration with service providers for survivors of SGBV and PwD,. Practical/service delivery approach and limited interaction between service providers and adult women with disability prevents disclosure of SGBV issues ,,. Accessibility assessment of SGBV centers; training of staff at centers for PWD on SGBV referral pathways,. Social isolation of PwD and heavy burden on family care givers ,,. Ensure that community centres are accessible for PwD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraqis,Male and female,Adolescents,None,None,. Poor quality health care provided by JHAS,. Restoring UNHCR-CARITAS partnership,. Expand provision of health care beyond services provided by JHAS,. Overcrowding in schools and lack of school books,,. Advocate for Save the Children to provide education to Iraqi minors and adolescents,,,,,,,,,,,,,. Limited social interaction between refugees and host community,,. Support school enrolment of Iraqi minors and adolescents ,,,,,,,. Inability to cover rent and basic needs,,. Increase financial assistance to vulnerable cases ,. Lack of awareness on complaints handling mechanisms ,,. Raise awareness on UNHCR services,,,,. (a.) Quality health care (b.) Resettlement,. Improve quailty and access to health care; expedite applications for resettlement ,,,,,,,,. Negative view on Home Visits. No follow-up.  ,,,,,,. Urgent need for cash assistance ,,. Expedite cash assistance for persons approved for assistance 
Iraqis,Female,Adult,None,None,. Poor quality health care provided by JHAS (lack of medicine for chronic diseases),. Restoring UNHCR-CARITAS partnership,. Improve access to and quality of health care ,. Unaffordable fees for children's education ,,,,,,,,,,,,,,,. Harassment of children in schools,,,,,,. One case of reported fraud - offer of illegal immigration in return for  USD,,. Raise awareness of risks of illigal immigration ,. Untimely issuance of visas for family members resulting in children arriving unaccompanied to Jordan ,,,. Lack of awareness on complaints handling mechanisms,,. Raise awareness on UNHCR services,,,,. (a.) Resettlement (b.) safety in Jordan (c.) employment (d.) education for children ,,,,,,. Poor quality and access to health care ,,,. Negative view on Home Visits. No follow-up. ,. Ensure follow-up to Home Visits.,,,,,. Urgent need for cash assistance (most survive on earnings from selling valuable belongings),,. Cash assistance or resettlement
Iraqis,Female,Adult,None,FHH and cash beneficiaries ,. Poor quality and access to health care provided by JHAS,,,. Children school drop-out,,,,,,,,,,,,,,,". Poor relations with host community (no social interaction, frequent harassment)",,,,,,. One case of reported fraud (missing details),,. Increase legal aid ,,,,. Complaints handling mechanisms found to be ineffective ,,,,,,. Resettlement ,,,,,,. Poor quality and access to health care (extra burden on families),,,,,,,,,. Urgent need for cash assistance,,
Iraqis,Male,Adult,None ,Cash beneficiaries,. Physical and verbal harassment ,,,. Threat of eviction from homes (high demand for housing gives landlords advantages),,,,,,,,,,,,,,,. Poor relations with host community (a sense of being unwelcomed),,. Organisation of recreational activities for Iraqis and Jordanians ,,,,,,,,,,". UNHCR services said to be useless, established complaints handling mechanisms entirely ineffective",,. Strengthen UNHCR complaints handling mechanisms/ build capacity of staff handling helpline,. Great fear of deportation among refugees living ITSs. Reports of no or limited support by UNHCR.,,,. (a.) Employment (b.) cash assistance (c.) quality health care (d.) resettlement ,,. Vocational training for adult men,. Lack of awareness on UNHCR services (including psychosocial support),,. Raise awareness on UNHCR services and referalls for psychosocial support,. Poor quality and access to health care (and too expensive),,,. Negative view on Home Visits. No follow-up.,,,,,,,,
Iraqis,Female,Youth,None,Most new arrivals ,. Social isolation and fear of leaving home,,,. Inability to cover rent and basic needs (selling valuable belongings as coping strategy),,,. Poor quality and access to health care (lack of medicine for chronic disease that require ongoing care),,,. Overcrowding in shared accommodation ,,,,,,,,,,,,,,,. One case of reported fraud (missing details) ,,,. Domestic violence targeted at children,,,,,,,,,. Resettlement only aspiration ,,,,,,. Poor quality and access to health care (and too expensive),,,. Positive view on Home Visits ,,. Scale up Home Visits ,,,,. Urgent need for cash assistance ,,. Information sharing on cash assistance to manage expectations among refugees 
Iraqis,Female,Adult ,None,FHH and new arrivals ,. Social isolation and fear of leaving home,,,. Inability to cover rent and basic needs ,,,. Poor quality and access to health care (lack of medicine for chronic disease that require ongoing care),,". Improve access to health care (specific needs for treatment of dialysis, diabetes, spine and disc diseases); improve hygiene",. Stress resulting in parents being violent with their children ,,,,,,,,,. Harassment of children in schools,. Psychosocial support for families struggling to adjust to life in Jordan,. Raise awareness on offer for psychosocial support ,,,,. Stories of fraud circulating in Iraqi refugee community ,,,,,,. Lack of awareness on complaints handling mechanisms/ or experience that they are ineffective,. More information on UNHCR services/ better follow-up on requests for assistance ,. Trust building between UNHCR staff and refugees; awareness raising on ,,,,. Resettlement,,. Encourage refugees to think and plan for alternatives to resettlement,. Limited access to services for PwD,,,. Poor quality and access to health care ,,,. New arrivals hopeful that Home Visits will lead to resettlement. Refugees that have stayed in Jordan longer have a negative view on Home Visits (no follow-up).,,,,,,. Urgent need for cash assistance,,. Information sharing on cash assistance to manage expectations among refugees 
Iraqis,Male,Youth,None,Most new arrivals ,". Poor quality and access to health care provided by JHAS (overcrowding, lack of medicine for chronic diseases, long waiting lists)",,. Explore expanding health care services beyond those offered by JHAS ,. Inability to cover rent and basic needs,,,. Threat of eviction from homes (high demand for housing gives landlords advantages),,,. Social isolation/sense of having no rights ,,. Raise awareness on refugee rights and UNHCR services,,,,,,,,,,,,,,,,,,,. Lack of awareness on complaints handling mechanisms,,,,,,". (a.) Resettlement (b.)employment (c.) cash assistance (d.) good Health care services 
",,,,,,. Poor quality and access to health care ,,,. Positive view on Home Visits ,,,,,,,,
Iraqis,Male and female,Minors,None,None,. Harassment and violence targin the street and at school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. Lack of awareness about complaints handling mechanisms,,. Promote awareness on child protection mechanisms,,,,". (a.) play (b.) peace (c.) education (d.) travel 
",,,,,,,,,,,,,,,,,
Iraqis,Female,Older Persons,None,None,. Poor quality and access to health care ,. Re-institute partnership between UNHCR and CARITAS ,,. Harassment and lack of protection from police,. Resettlement,. CSC activities involving refugees and members of host community ,,,,,,,,,,,,,,,,,,,. One case of reported fraud for illegal immigration,,,,,,. Lack of awareness on complaints handling mechanisms ,,,,,,. (a.) resettlement (b.) security (c.) employment (d.) education for children  ,,,. Lack of awareness on services for PwD and survivors of SGBV,,,. Poor quality and access to health care ,. Re-institute old government health care policy,,,,,,,,. Urgent need for cash assistance ,,
Iraqis,Male,Older Persons,None,None,. Poor quality and access to health care provided by JHAS (JHAS only partially covers costs for medicine),,,. Harassment and lack of protection from police,. Sensitising host communities to struggles faced by refugees,. Using media to tackle discrimination ,,,,,,,,,,,,,,,,,,,. Stories of fraud circulating in Iraqi refugee community ,,. Raise awareness on UNHCR services ,,,,. Complaints handling mechanisms found to be ineffective,,. Strengthen UNHCR complaints handling mechanisms/ build capacity of staff handling helpline,,,,". Resettlement 
",. UNHCR to offer language classes and expedite resettlement cases,. Promote better integration of refugees in host community,. NHF and IMC services are helpful but do not fully meet all needs of PwD or persons with a mental illness ,,,. New health policy adds extra burden on refugees struggling to meet basic needs,,,. Positive view on Home Visits but follow-up found to be too slow,,,,,,. Urgent need for cash assistance ,,
Iraqis,Male and female,Adults and minors,PwD,None,. Poor quality and access to health care provided by JHAS (inadequate special needs care - need for optical and dental care and special services for children with down syndrome and autism),. Re-institute partnership between UNHCR and CARITAS,. Expand provision of health care beyond services provided by JHAS,. Social isolation due to fear of harassment ,,,. Psychosocial issues facing families of PwD,. Psycho-social support,. Offer psychosocial support to refugees ,. Unaffordable education fees for children ,. Earmarked cash assistance for education for children ,,,,,,,,,,,,,,. Stories of fraud circulating in Iraqi refugee community ,,,,,,. Lack of trust in complaints handling mechanisms,,. Strengthen UNHCR complaints handling mechanisms/ build capacity of staff handling helpline,,,,. Resettlement ,,,. Limited and irregular provision of services  ,,. Improve access to and quality of special education centers ,. New health policy adds extra burden on refugees struggling to meet basic needs,,,. New arrivals hopeful that Home Visits will lead to resettlement. Refugees that have stayed in Jordan longer have a negative view on Home Visits (no follow-up).,,. Ensure follow-up to Home Visits.,,,,. Urgent need for cash assistance ,,
Iraqis,Male and female ,"Cash-female HH : Adult women, Female youth, Male youth, Older person women, Older person men, PWD women and female youth, Minors(10-15 yrs.), Adolescents (16-18 yrs.), FHH , Cash beneficiaries FHH, Cash beneficiaries male",,,. Inability to cover rent and basic needs (due to lack of work permit),". Elderly men recommended vocational training on sewing, hairdressing, and cooking",. Increase cash assistance for vulnerable cases and offer vocational training recognised by GoJ,. Early marriage among female youth,,,. Syrians enjoy better access to services than Iraqis ,,,. Threat of eviction from homes (high demand for housing gives landlords advantages),,,,,,,,,. High population density causes tension between refugees and host community,,. Promote social cohesion through joint celebration of religious and national holidays (for refugees and host community) ,,,,. Several cases of fraud reported ,,. Encourage refugees to report fraud cases ,. New arrivals depend on savings (some survive on earnings from selling valuable belongings),,,. Adult women aware of complaints handling mechanisms but find them ineffective ,,,,". Inability to cover basic needs (due to lack of work permit, some women have skills but do not know how to advertise their skills)",,". (a.) Resettlement (b.) cash assistance (c.) work permits (d.) health services (e.) education (f.) recreational activities 
",,. Recreational activities for all members of refugee community through CSCs,. Limited access to services by PwD,,. New health policy adds extra burden on refugees struggling to meet basic needs,. New health policy adds extra burden on refugees struggling to meet basic needs,,. Identify new health care donors ,. Positive view on Home Visits but need for better follow-up,,,,,,. Some have received/ or receive cash assistance but it only covers rent ,,
Iraqis,Male and female,Adolescents,None,New arrivals,. Lack of academic records prevents some adolescents from attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. Lack of awareness on complaints handling mechanisms ,,,,,,. (a.) Return to school (b.) recreational activities including English classes (c.) food vouchers (d.) resettlement ,,,,,,,,,. Negative view on Home Visits. No follow-up.,,,,,,,,
